F1_0,F1_1,epoch,time
0.0,0.24512481250839324,0,28.915884017944336
0.9249036595453606,4.633552213514086e-05,1,86.53888702392578
0.925009129342839,0.003185376346928458,2,140.92794728279114
0.9592303140031643,0.7822868601112825,3,192.63722109794617
0.9722397503446402,0.8280378308788061,4,244.39962196350098
0.9689994305544992,0.8268749191271055,5,295.40655064582825
0.974360900285125,0.8479717010604092,6,345.81206607818604
0.9690578368072968,0.7657955004715075,7,396.33321809768677
0.9776237803349178,0.8544611690573841,8,447.1683223247528
0.9775057762822517,0.8580242844078415,9,496.4128403663635
0.9780388766677326,0.8613458592458075,10,548.290637254715
0.9789611292306047,0.8654219735420058,11,598.3116710186005
0.9783545284405107,0.8582111828565144,12,650.8775608539581
0.9790607530652325,0.8730561488070746,13,700.2119760513306
0.9769907766786811,0.8440158412137737,14,753.2289917469025
